tagID,tagValue
188,industrial rock
189,gothic rock
190,instrumental
191,classic rock
192,country
193,hardcore
194,british
195,polish rock
196,gangsta rap
197,rapcore
198,electropop
199,hot
200,guilty pleasures
201,electro pop
202,disco
203,fierce
204,urban pop
205,<3
206,want to see live
207,diva
208,legend
209,00s
210,thats hot
211,criminal
212,beautiful
213,big voice
214,icon
215,american
216,untalented
217,slut
218,whore
219,fake boobs
220,the hills
221,people who have no talent
222,umtalented
223,bad
224,money
225,california
226,comedy
227,catchy
228,epic
229,love it
230,ballad
231,addictive
232,dark
233,amazing
234,dancepop
235,the fame monster
236,#1
237,sexy
238,spanish new wave
239,80s pop espanol
240,spanish pop
241,power pop
242,spanish rock
243,spanish pop-rock
244,garage
245,pop espanol
246,60s
247,garage revival
248,garage rock
249,60s psychedelic
250,swing
251,mod
252,rockabilly
253,freakbeat
254,rock espanol
255,retro swing
256,swing revival
257,neo swing
258,psychobilly
259,grave stompers
260,punkabilly
261,50s rock revival
262,80s garage
263,90s pop espanol
264,ska
265,psychedelic garage
266,psychedelic garage revival
267,surf
268,techno pop
269,spanish rockabilly
270,60s garage
271,garage surf
272,ska revival
273,surf revival
274,post-punk
275,instro rock
276,mod revival
277,rock urbano
278,ska punk
279,rad
280,grind
281,spacy
282,raw
283,1st take
284,awesome
285,pretty
286,lovely
287,beatsy
288,hot guitar
289,lesser known yet streamable artists
290,greek
291,folk
292,cypriot
293,greek pop
294,greek rock
295,indie pop
296,pop-rock
297,greek alternative
298,world
299,greek hip-hop
300,eurovision
301,ethnic
302,x factor
303,hip hop
304,pop-folk
305,male vocalists
306,pop folk
307,latin
308,electro
309,modern folk
310,reggae
311,greek folk
312,laiko
313,greek rap
314,asian
315,entexno
316,south pacific
317,traditional
318,spanish
319,chilean
320,french
321,pacific
322,hood
323,lady
324,ft
325,wale
326,progressive trance
327,psycho
328,slayer
329,death
330,pain
331,atheist
332,palestine
333,pestilence
334,noize
335,idmbient
336,crust
337,witch house
338,russian
339,female
340,gay
341,gay icons
342,teen pop
343,gay icon
344,europop
345,90s
346,girl
347,fun
348,female pop
349,latin pop
350,dance pop
351,queen of pop
352,top artists
353,australian
354,radio crazy
355,toxic
356,brit pop
357,favorites
358,pwl
359,kylie minogue
360,my favorite music
361,mexican
362,kylie
363,favorite
364,r and b
365,best of pop
366,i luv this
367,ateens
368,russian metalcore
369,metalcore
370,nintendo-core
371,deathcore
372,bosnian thrashcore
373,metal core
374,thrashcore
375,female melodic death metal
376,modern melodic metal
377,modern melodic death metal
378,melodic death metal
379,heavy metal
380,progressive rock
381,brit rock
382,britpop
383,indsutrial
384,shoegaze
385,death rock
386,dream pop
387,proto-punk
388,new romantic
389,electroclash
390,alterntative rock
391,alternative pop
392,popstars
393,talent
394,king of pop
395,the king of pop
396,michael-jackson-the-king-of-pop
397,girlgroup
398,disney
399,brazil
400,genial
401,female vocals
402,guitar virtuoso
403,albums i own
404,andre matos
405,best band ever
406,great singer
407,melodic metal
408,nwobhm
409,tr00
410,rock opera
411,iron maiden cover
412,metal god
413,sao paulo
414,best singer ever
415,male vocals
416,helloween
417,progressive
418,pastel
419,depressive
420,hangar
421,jau
422,babi fernandes nadaleto
423,heavy rock
424,hugo mariutti
425,brazilian
426,nightwish cover
427,adrian dragassakis
428,breyla iv
429,angra
430,rafael bittencourt
431,animal
432,fodinha
433,clasical
434,industrail rock
435,sludge
436,new ag
437,progessive metal
438,blues rock
439,grunge rock
440,favourites
441,my favourite songs
442,solar stone
443,underworld
444,sophie ellis-bextor
445,plaid
446,adymus
447,dj tony venilman
448,guru josh project
449,wolfgang gartner
450,dj disciple
451,dj eco
452,danjo
453,rozza
454,dj walus
455,the touch
456,nate wollman
457,eliess
458,amntqnn onratob
459,david amo
460,dj antonio
461,art meson
462,dan stone
463,kurd maverick
464,andrew wooden
465,spirit catcher
466,that mucho
467,ernesto vs bastian
468,anjunabeats
469,julien creance
470,silent intensity
471,transa
472,radio romania
473,radio
474,usa
475,sasha
476,party
477,rick astley
478,thomas newman
479,smile
480,poison
481,runner runner
482,taylor momsen
483,all time low
484,nothing personal
485,kesha
486,glee
487,synth
488,synth wave
489,80s awesome
490,80s party
491,i love 80s
492,melodic
493,brilliant
494,pet shop boys
495,back to the 80s
496,live
497,classic synthpop
498,80s pop
499,i love 90s
500,10s
501,love
502,dance-pop
503,80s new wave
504,english
505,romantic
506,nostalgic
507,depeche mode
508,best of 80s
509,i love disco diamonds
510,80s dance
511,hungarian
512,eighties
513,romance
514,italo disco
515,remix album
516,nordic
517,great
518,genious
519,piano
520,classic
521,folk rock
522,contemporany
523,chile
524,guitar hero
525,too slow amarok
526,renaissance
527,impressionist
528,baroque
529,minimalista
530,neofolk
531,japan 80s
532,strings - organs  rubber wind
533,djent
534,japanese
535,avant-garde metal
536,stoner rock
537,composers
538,classical
539,jazz fusion
540,fusion
541,c
542,hardrock
543,black music 4 black ppl listened 2 by white hipsters
544,lastfm hipster artists
545,weeabo
546,wigger
547,lastfm elitist repellent
548,industrial pop
549,musique concrete
550,easy listening
551,masturbation
552,pretentious crap
553,best albums
554,ep
555,futuremelon
556,terrorbanana
557,psytrance
558,dark electro
559,goffpop
560,rave
561,goa
562,germany
563,techno
564,dark techno
565,helltrance
566,vampirepop
567,dark ambient
568,darkwave
569,alpha quadrant
570,industrial techno
571,ambient industrial
572,intelligent electro
573,industrial dance
574,boring
575,goff
576,pissbass
577,new kid on the block
578,darktechno
579,science fiction
580,darktrance
581,psychedelic trance
582,star trek
583,electrowave
584,borg
585,techtrance
586,dark electronic
587,old shit
588,war
589,tech-trance
590,combichrist
591,portion control
592,cyber
593,futurepop
594,swedish
595,futurepop anthem
596,hardstyle
597,norwegian
598,gabber
599,multiple artists
600,dutch
601,italian
602,hard trance
603,childhood
604,canadian
605,deathrock
606,powernoise
607,belgian
608,power metal
609,technical thrash metal
610,speed metal
611,on frozen fields
612,groove metal
613,war metal
614,battle metal
615,best of the best
616,depression
617,electro house
618,soul
619,drum and bass
620,podcast
621,wtf
622,disappointment
623,timbaland killed my carrer
624,minimalist
625,rihanna
626,miley cyrus
627,americans
628,shakira
629,britney spears
630,tecno
631,r&b
632,queen
633,urban
634,top 40
635,guilty pleasure
636,teen
637,tech
638,era
639,ass
640,00
641,thalia
642,sex symbol
643,jlo
644,pop teen
645,rap reggae
646,camp rock
647,ashley tisdale
648,selena gomez in the scene
649,jeffree star
650,katy perry
651,lady gaga
652,mi delirio
653,woman
654,ballads
655,perfect
656,riri
657,christina aguilera
658,xtina
659,not myself tonight
660,bionic
661,copa
662,xtina love
663,girl power
664,why on earth is this just a bonus track
665,raining men
666,supersonic
667,rated r
668,te amo
669,sweet dreams
670,3oh3
671,bestrihanna
672,gggb
673,favoritesong
674,good girl gone bad
675,tip pon toe
676,country pop
677,punk pop
678,nickelodeon
679,idol
680,abba
681,rainha do pop
682,madonna
683,swedish pop
684,favorite by this group
685,melhor cantora europeia de todos os tempos
686,mpb
687,ana carolina
688,oldies
689,1970s
690,best of all
691,love song
692,trilha sonora
693,60's
694,beyonce
695,smooth
696,fucking sexy
697,ackles
698,f-u-c-k me
699,2008
700,brasileira
701,get stupid
702,1982
703,the best of madonna
704,1978
705,gospel
706,best song ever
707,sweden
708,roxette
709,joyride
710,scandinavian
711,christmas songs
712,gossip girl
713,salsa
714,trumpet
715,colombia
716,reggaeton
717,happy
718,vivaldi
719,salsa romantica
720,vocal
721,rock en espanol
722,concerto
723,love at first listen
724,barroco
725,antonio vivaldi
726,barroco favorito
727,latino
728,70s
729,dance rock
730,great lyrics
731,nu-metal
732,swedish metal
733,brutal deathgrind
734,grindcore
735,brutal death metal
736,technical death metal
737,death metalcore
738,brutal deathcore
739,progressivo
740,christian metalcore
741,jpdm
742,deathgrind
743,post hardcore
744,russian death metal
745,bree bree
746,goregrind
747,vocalist
748,bay area
749,southern rap
750,indie folk
751,instrumental hip-hop
752,acoustic music
753,rock in rool
754,pop metal
755,not emo
756,andy six
757,post-hadcore
758,lady gaga play day
759,holiday soundtrack
760,unreleased
761,stand out be proud
762,demi lovato
763,my childhood
764,underrated
765,one of her best songs
766,her best
767,amazing voice
768,elvis presley
769,gross meaning but good song
770,why on earth wasnt this released
771,party time
772,vanessa hudgens
773,legends
774,2010
775,one of my favorites
776,hilarious
777,american idol
778,never gets old
779,celebrities who one day im determined to meet
780,nick
781,wishlist
782,2010s
783,soundrack of my life
784,taylor swift
785,1980s
786,fucking awesome
787,play this loud enough to raise the dead
788,haunting
789,music for tossing furniture around
790,masterpiece
791,unforgettable
792,genius
793,cello metal
794,hypnotic
795,take your shirt off and dance to it
796,apocalyptic
797,so sad yet so beautiful
798,i think trent reznor is superior to god
799,soundtrack of my dreams
800,helplessly singing along
801,beautifully depressing
802,great cover
803,attitude
804,peaceful
805,great b-side
806,songs you must hear before you die
807,perfection
808,my face is completely rocked off
809,fucking beautiful
810,mega awesome sweet fuckin hyperpowerful riff
811,greatest rock anthems
812,my music pillow
813,chen-
814,post rock
815,basque
816,brasil
817,mellow
818,relaxing
819,chill
820,medieval
821,finnish
822,blues
823,guitar
824,the best
825,music to cry
826,energy
827,ukrainian
828,nostalgia
829,dreamy
830,sad and slow
831,amazing vocal
832,sad
833,perfect lyrics
834,absolutely genius
835,piano rock
836,rock ballad
837,sensual
838,meditative
839,placebo
840,female vocal
841,hair metal
842,riot grrrl
843,cover
844,rock catala
845,christian metal
846,celtic
847,spiritual
848,new rave
849,mixmaster supreme
850,disco classic
851,smooth groove
852,damn boy
853,glorious gospel
854,deep house mixes
855,90s jam
856,forgotten 80s jam
857,loleeta
858,memphis soul
859,miss grace jones
860,grace
861,loleatta
862,drum 'n' bass
863,dnb
864,hot enough to sweat out your press n curl
865,quiet storm
866,70s jazz
867,luther vandross
868,beautifully sad love song
869,beautifully sad song
870,vocal classic
871,david at his finest
872,oh so beautiful
873,fonky fresh jam
874,undulating
875,slinky
876,philly soul
877,still a jam
878,fav songs
879,albums i have on mp3
880,new wave songs
881,new wave albums
882,fav artists
883,albums i have on vinyl
884,synthpop songs
885,1982 songs
886,fav albums
887,synthpop albums
888,british artists
889,1981 songs
890,new wave artists
891,albums i have on cd
892,1983 songs
893,new romantic songs
894,1984 songs
895,1979 songs
896,1984 albums
897,debut albums
898,1983 albums
899,3 star albums
900,synthpop artists
901,1980 songs
902,1982 albums
903,4 star albums
904,electronic albums
905,1981 albums
906,1980 albums
907,1986 albums
908,1985 albums
909,1985 songs
910,electronic songs
911,american artists
912,b-sides
913,alternative albums
914,1979 albums
915,instrumentals
916,1986 songs
917,1987 albums
918,2 star albums
919,1988 albums
920,5 star albums
921,post-punk songs
922,new romantic albums
923,disappointing albums
924,rock albums
925,1978 albums
926,pure aural sex
927,songs to listen to on a sunny day
928,lo-fi
929,mariah carey
930,leona lewis
931,run the world
932,weirdo music
933,clocks
934,arjen anthony lucassen
935,space metal
936,metroid
937,game
938,my other car is a cdr
939,lisp
940,pirate metal
941,alliterative
942,duke nukem
943,epic song
944,sicp
945,neo-classical metal
946,june
947,best albums of 2010
948,favourite
949,the beowulfs choice
950,scholes song
951,the pedofinder general
952,po-kraftwerkski
953,my pleasuredome
954,zadrotstvo
955,my fav fun
956,touching song
957,ogonj
958,absolute disco
959,oni pout
960,ohm sweet ohm
961,nejlepsi
962,po-andoneovski
963,hellish song
964,polotenchik poet
965,my choice
966,my fav voice
967,tango
968,my calm
969,true synthpop
970,classical crossover
971,opera
972,andrew lloyd webber
973,tenor
974,mezzo-soprano
975,pop opera
976,soprano
977,baritone
978,popera
979,alessandro safina
980,caruso
981,the phantom of the opera
982,duet
983,turandot
984,musical
985,adagio
986,phantom of the opera
987,foll
988,mepoupe
989,korean
990,pure love
991,somebody told me
992,alternatif
993,anglais
994,darkstep
995,darkside
996,hardstep
997,belarus
998,death-metal
999,mathcore
1000,g-funk
1001,bandana music
1002,westcoast
1003,g-funk francais
1004,bay rap
1005,chicano rap
1006,laglak
1007,gangsta rnb
1008,pimp rap
1009,jazz rock
1010,math rock
1011,jazzcore
1012,jazz core
1013,indie jazz dance math rock
1014,aysel gurel
1015,onno tunc
1016,1992
1017,1988
1018,1990
1019,1994
1020,sezen aksu
1021,1987
1022,1993
1023,1986
1024,1984
1025,1991
1026,garo mafyan
1027,atilla ozdemiroglu
1028,1989
1029,perdesiz gitar
1030,banu kirbag
1031,1999
1032,1997
1033,1996
1034,2005
1035,1985
1036,arabesk
1037,1995
1038,1983
1039,1998
1040,erkan ogur
1041,1981
1042,gundogarken
1043,bir yaz daha bitiyor
1044,istanbul
1045,baha boduroglu
1046,turk sanat muzigi
1047,mozaik
1048,cook alametler belirdi
1049,nur yoldas
1050,parios
1051,flamenco jazz
1052,modern klasik
1053,ezginin gunlugu
1054,yildirim turker
1055,oludeniz
1056,tanju duru
1057,selmi andak
1058,sn
1059,1979
1060,vedat sakman
1061,arto tuncboyaciyan
1062,kivanc k
1063,1980
1064,rock 'n' roll
1065,backstage rock shop artist
1066,loistavuus
1067,rhythm and blues
1068,scandinavian action rock
1069,rock n roll
1070,rock'n roll
1071,seattle sound
1072,trancecore
1073,mexico
1074,favourite albums
1075,gader
1076,dirty south
1077,2006
1078,2002
1079,female voices
1080,justin timberlake
1081,jessica simpson
1082,songwriter
1083,2000
1084,inspirational
1085,jacksons
1086,fmera album
1087,best song in the world
1088,lofi
1089,chill zone
1090,covers
1091,miserable
1092,christmas blend
1093,rain
1094,morning
1095,duets
1096,industri
1097,steve albini
1098,steve abini
1099,no wave
1100,avant garde
1101,marathon
1102,beer
1103,touhou
1104,hai
1105,susu
1106,utage
1107,peppy
1108,video
1109,nico
1110,iosys
1111,osu
1112,ievan polka
1113,ryusueigun
1114,can
1115,you
1116,just
1117,gaga
1118,parody
1119,power
1120,polka
1121,spice girls
1122,backstreet
1123,hair
1124,afro
1125,parappa
1126,cut
1127,trim
1128,flave
1129,bass
1130,hoppar
1131,mafia
1132,superhit
1133,masz do cholery
1134,musicals
1135,ross
1136,damon albarn
1137,drone doom
1138,alternativemetal
1139,hott
1140,sufoco
1141,80's music
1142,big fun
1143,big hair
1144,supercool
1145,deep
1146,classic pop
1147,heavy funk
1148,tecno comedy
1149,80z pop
1150,tragically-80s
1151,popdance
1152,hillarious
1153,hot track
1154,funny scottish bastard
1155,sexy song
1156,positive
1157,beautiful sounds
1158,dance funk
1159,gorgeous boys
1160,gorgeous soul
1161,dancerock
1162,mosh song
1163,hot voice
1164,fun-dance-song
1165,great love song
1166,popfun
1167,australian rock
1168,genius at work - brilliant song
1169,aussie pop dance band
1170,80z rock
1171,eerily beautiful
1172,poprock
1173,hotttttttt
1174,brilliant live rock band
1175,aweosme rock
1176,british tosser
1177,ahhhhhhhhh
1178,australian pop rock at its best
1179,timeless rock
1180,eargasm x 100000
1181,lush
1182,wow
1183,exclamation mark
1184,dreampop
1185,cheese on toast
1186,samey
1187,just a little bit sexy
1188,wooooooaaaaahh
1189,jewish folk alternative rap
1190,hilary duff
1191,featuring
1192,slash
1193,fergie
1194,8-bit
1195,overrated
1196,southern rock
1197,synth indie rock
1198,favourite artists
1199,simple but awesome
1200,i love this fucking song
1201,so catchy i might explode
1202,depeche mode covers
1203,if it were a cake i could eat it
1204,best of 2008
1205,jrock
1206,j-metal
1207,japanese hip-hop
1208,hardcore punk
1209,marisa mix
1210,ben folds
1211,tom waits
1212,1973
1213,4/4
1214,guitar solo
1215,brawler
1216,bluesy
1217,loneliness
1218,green day
1219,the weakerthans
1220,the roots
1221,regina spektor
1222,1970
1223,2009
1224,2007
1225,horns
1226,2004
1227,iron & wine
1228,cake
1229,randy newman
1230,growing up
1231,alternative music
1232,alternatif muzik
1233,rock gaucho
1234,rio grande do sul
1235,powerpop
1236,rock porto alegre
1237,italian pop
1238,christian
1239,road  movie
1240,disney on ice
1241,hal
1242,instructive
1243,audio book
1244,propaganda
1245,core
1246,school
1247,etheral
1248,chipgaze
1249,experimental metal
1250,breakcore
1251,speedcore
1252,chiptune
1253,raggacore
1254,jungle
1255,8bit
1256,terror
1257,8 bit
1258,latvian
1259,breakbeat
1260,hardcore techno
1261,south park
1262,cartman
1263,dominican republic
1264,crossover
1265,old school death metal
1266,ambient black metal
1267,funeral doom metal
1268,funeral doom
1269,death/black metal
1270,sleaze rock
1271,glam-sleaze rock
1272,glam metal
1273,rock 80s
1274,street punk
1275,chaos punk
1276,sleaze
1277,performer
1278,best seller
1279,entertainer
1280,pop icon
1281,pop queen
1282,superstar
1283,grammy winner
1284,recordwoman
1285,very very guilty pleasure
1286,britney fan
1287,heartbreaker
1288,composer
1289,mtv
1290,unreal
1291,ost
1292,record
1293,bleach
1294,star
1295,tears
1296,big bang
1297,living legend
1298,unusual you like
1299,blackout
1300,truth
1301,bleachaddict
1302,jpop
1303,emotion
1304,transcendant
1305,pop princess
1306,amazing fans
1307,best song
1308,post-metal
1309,grime
1310,artcore
1311,jumpstyle
1312,unique song
1313,war is like music
1314,dub dos brother
1315,fucking awensome
1316,pink floyd
1317,guns n roses
1318,fucking cool
1319,american blues artist group
1320,ameribluesscene
1321,blueartistgroup
1322,american blues scene
1323,guitar karlsruhe
1324,allboutguitar
1325,seattle
1326,blues music
1327,red shoe diaries
1328,brent david fraser
1329,fame la
1330,harmonica blues
1331,dudley taft
1332,german blues lovers
1333,excellence
1334,great song
1335,great intro here nice chill beat with uptempo feel as well
1336,one of the illest groups dah shinin is a must get top 3 album ever
1337,vocal trance
1338,love songs
1339,scottish
1340,soft rock
1341,christmas
1342,50s
1343,eurodance
1344,post-grunge
1345,modern metal
1346,german metal
1347,industrial death metal
1348,stoner metal
1349,sludge metal
1350,bulgarian
1351,female fronted metal
1352,freestyle
1353,shred
1354,funny
1355,radio show
1356,advice
1357,talk show
1358,folk metal
1359,viking metal
1360,wolf metal
1361,carrie underwood
1362,my fav girls
1363,country divas
1364,best of 2009
1365,the best of pop
1366,female country
1367,carrie underwood favourite
1368,soundtrack of my life
1369,sex pop
1370,adam lambert
1371,lil wayne
1372,country favorites
1373,country rock
1374,my favorite artists
1375,female singers
1376,best albums of 2009
1377,country albums to check out
1378,eminem
1379,linda perry
1380,im ok
1381,kelly clarkson
1382,already gone
1383,pop rock nacional
1384,philadelphia
1385,country dobro americana dylan humor parody satire funny zappa
1386,fiscal crisis
1387,relevant now
1388,acme of western civilization
1389,fingerpicking
1390,tromboners
1391,godlike
1392,eceletic
1393,philadelphia philly funny quirky
1394,phildelphia
1395,ents
1396,west philly
1397,fugs
1398,upper darby
1399,trees
1400,talking heads
1401,weed
1402,devo
1403,phish
1404,marijuana
1405,zappa
1406,philly
1407,420
1408,trippy
1409,humor
1410,drugs
1411,prog
1412,quirky
1413,aufdiefresse
1414,urz
1415,family guy
1416,big beat
1417,aggressive
1418,humour
1419,love metal
1420,the beatles
1421,fevereirooooo lol
1422,music faz lembrar a a nani num sei pq mais eu lembro
1423,music gay :d
1424,music ki me faz lembrar meu amor s2
1425,digimon xd lol
1426,music lembra quando eu thava 7 serie lol
1427,lol music boa de mais da conta
1428,rock ballads
1429,finnish rock
1430,theatrical
1431,emotional
1432,dramatic
1433,remix
1434,educational music
1435,kindie
1436,childrens music
1437,prog-rock
1438,coffeehouse
1439,beatles influenced
1440,beck-influenced
1441,dancehall
1442,song for the dumped
1443,chill-out
1444,orchestral pop
1445,horror film music
1446,theatre
1447,movie music
1448,broadway
1449,eerie
1450,amy macdonald
1451,love is weird
1452,can not have the best of me
1453,female vocalits
1454,roots reggae
1455,minimal techno
1456,electrodub
1457,loose
1458,nelly
1459,furtado
1460,axe
1461,forro
1462,whitneyduncan
1463,kelly key
1464,goth
1465,brazilian post-punk
1466,indie funk
1467,dark pop
1468,dark metal
1469,girl band
1470,portuguese
1471,future-pop
1472,french pop
1473,electropunk
1474,synth-rock
1475,fav female singers
1476,fav tracks
1477,fav male singers
1478,relax
1479,good mood
1480,depressing
1481,sex
1482,abre caminhos
1483,minuto de sabedoria
1484,stupid
1485,luz luz luz
1486,worst lyrics ever
1487,turkish delight
1488,language
1489,best version
1490,adoro
1491,preferidas
1492,brasileiro
1493,female singer-songwriters
1494,jack johnson
1495,soundscape
1496,shit
1497,meow
1498,repetitive
1499,drill n bass
1500,breathtaking
1501,trash metal
1502,symphonic black metal
1503,pagan metal
1504,indietronica
1505,rock'n'roll
1506,synthrock
1507,fusion jazz
1508,art rock
1509,melodic hardcore
1510,burnt fur
1511,siouxsie and the banshees
1512,the cure
1513,paradise place
1514,the human league
1515,seconds
1516,ultraviolence
1517,new order
1518,clasica
1519,70
1520,seventies
1521,setenta
1522,setentas
1523,rb
1524,romantica
1525,noruego
1526,nordico
1527,the nordic sound
1528,chilena
1529,illapu
1530,books
1531,folklore
1532,filmmussik
1533,pelicula
1534,spoken
1535,espana
1536,tranquility
1537,trompeta
1538,relajacion
1539,dreaming
1540,israel
1541,jerusalem
1542,la nueva ola chilena
1543,classicalclassic
1544,nueva ola
1545,vieja ola
1546,bavarica
1547,queen of rnb
1548,queen of hip hop
1549,mother monster
1550,sasha fierce
1551,bootylicious
1552,prince of pop
1553,cute smile
1554,gold pants
1555,beautiful eyes
1556,best dancer
1557,curly hair
1558,king of music
1559,love his voice
1560,childhood hero
1561,peter pan
1562,oops she did it again
1563,popular
1564,filipino
1565,champion
1566,singer
1567,folktronic
1568,ellie gouldin
1569,philippines
1570,american band
1571,onerepublic
1572,the fray
1573,philippine
1574,pinoy
1575,woman beater
1576,douchebag
1577,asshole
1578,bizarro
1579,brazilian pop
1580,dragmusic
1581,better than radiohead
1582,eletronic pop
1583,bitch
1584,best remix ever
1585,bewareofthedog
1586,digital hardcore
1587,cyber-punk
1588,techno punk
1589,cyber-grind
1590,faggot
1591,speedgore
1592,lolicore
1593,gabber punk
1594,digital-punk
1595,digital-grindcore
1596,fl band
1597,bossa nova
1598,russian pop
1599,haiti
1600,black music
1601,international singers
1602,mariah
1603,ne-yo
1604,modern country
1605,rem
1606,lady antebellum
1607,beyonce knowles
1608,robbie williams
1609,michael
1610,samba
1611,alternativo
1612,excellent reason for crying
1613,these guys fucking rule
1614,fuck yeah
1615,but the party dont stop
1616,just makes you feel good
1617,for days when i am particularly angry with you
1618,fuck u bitch
1619,songs i can actually listen to on repeat
1620,makes you wanna dance all around your room
1621,boys
1622,we should be together
1623,pop bitch
1624,i was fighting with myself not to listen to it but i lost
1625,bitch song
1626,should have been on the album
1627,make me wanna scream
1628,i wish i could make a video for this
1629,i have a definite favorite part in this song
1630,i can and will listen to this song all day
1631,love him
1632,i hate her but i love the song
1633,for haters
1634,live track
1635,amazing cover
1636,tracks i would put on a movie soundtrack
1637,will you marry me sir
1638,its britney bitch
1639,edward and bella
1640,divorced kids anthem
1641,summer song
1642,i love him
1643,femme fatale
1644,lets make a sandwich
1645,to hear when you wake up
1646,broken family
1647,i could imagine hilary duff doing this song
1648,in the middle of summer
1649,summer night
1650,faves
1651,dark-doom
1652,technical metal
1653,new metal
1654,horrorpunk
1655,batcave
1656,this isnt wild
1657,it just sucks
1658,voodoo
1659,a reason the surfaris should only do instrumental songs
1660,the beach boys are pussies
1661,stop singing dick
1662,spooky funk
1663,mourning for grasshoppers
1664,western deathrock
1665,gothic calliope
1666,poncy goth
1667,music that has made me shout fuck yes
1668,aw man i got the goo goo itch
1669,jagger and bowie boned and you know that bowie was the girl because hes bowie
1670,god damn it on days like this i just have to put bela on loud and shut my eyes until the universe stops
1671,i could tell from the guitar that this is serious rock and roll
1672,ska that isnt for annoying 14-year-olds in orange billabong shirts
1673,welcome to drinkin island
1674,pumpkin fiction
1675,dick fucking dale motherfucker yes
1676,i love men without hats but this album is more like grunge without balls
1677,this singer is way too white to cover cab calloway
1678,i take it back
1679,thailand street punk
1680,one of my first favourite albums from the just-discovering-music-times
1681,horror glam
1682,cartoon metal
1683,monster sleaze
1684,outlaw country
1685,love and death
1686,synthmope
1687,i am going to dig up and be indecent with wendy o
1688,comedy folk goth
1689,old devo
1690,which means way more punk than anyone
1691,dusty dark western gothic rock
1692,hard
1693,ass-kicking southern sleaze
1694,deathglam
1695,cowpunk
1696,go back to kokomo you fucking beach boy assholes
1697,glam
1698,arctic monkeys
1699,deep purple family
1700,save your kisses
1701,crystal kay
1702,taboo
1703,utada
1704,neo-soul
1705,club
1706,krautrock
1707,tribal
1708,beautiful female vocalist
1709,trance metal
1710,vampirefreaks
1711,perfect woman
1712,gothic goddess
1713,worlds most beautiful woman
1714,goddess
1715,christ complex
1716,christian black metal
1717,unblack metal
1718,the speed of awesome
1719,deserve to be more famous but would suck if they became mainstream
1720,greatest band in the universe
1721,dragonball z
1722,cute
1723,male vocalist
1724,youtube
1725,made at home
1726,cartoon
1727,cruj
1728,draco and the malfoys
1729,skinny
1730,cindy lauper
1731,queer
1732,the best place to live
1733,aaron carter
1734,victoria beckham
1735,nick carter
1736,country ladies
1737,australian country
1738,canadian country
1739,texas country
1740,kickass
1741,chilling
1742,absofuckinglutely insane
1743,hatris
1744,so good
1745,incredible
1746,burnap
1747,chocolate
1748,downright beautiful
1749,ear sex
1750,fucking hardcore
1751,demos
1752,singer/songwriter
1753,fresh prince
1754,bus stop
1755,retro
